STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,AGG_METHOD,AGG_METHOD_LABEL,DECIMALS,DECIMALS_LABEL,DATABASE_ID,DATABASE_ID_LABEL,COMMENT_TS,UNIT_MULT,UNIT_MULT_LABEL,DATA_SOURCE,DATA_SOURCE_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,BLR,Belarus,WB_WDI_SI_POV_NAHC,Poverty headcount ratio at national poverty lines (% of population),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,41.9,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),Poverty headcount ratio at national poverty lines (% of population),0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,BOL,Bolivia,WB_WDI_SI_POV_NAHC,Poverty headcount ratio at national poverty lines (% of population),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,66.4,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),Poverty headcount ratio at national poverty lines (% of population),0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,CHL,Chile,WB_WDI_SI_POV_NAHC,Poverty headcount ratio at national poverty lines (% of population),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,36.0,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),Poverty headcount ratio at national poverty lines (% of population),0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,CHN,China,WB_WDI_SI_POV_NAHC,Poverty headcount ratio at national poverty lines (% of population),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,49.8,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),Poverty headcount ratio at national poverty lines (% of population),0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,SWZ,Eswatini,WB_WDI_SI_POV_NAHC,Poverty headcount ratio at national poverty lines (% of population),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,69.0,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),Poverty headcount ratio at national poverty lines (% of population),0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,IDN,Indonesia,WB_WDI_SI_POV_NAHC,Poverty headcount ratio at national poverty lines (% of population),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,19.1,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),Poverty headcount ratio at national poverty lines (% of population),0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,JAM,Jamaica,WB_WDI_SI_POV_NAHC,Poverty headcount ratio at national poverty lines (% of population),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,18.7,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),Poverty headcount ratio at national poverty lines (% of population),0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,MAR,Morocco,WB_WDI_SI_POV_NAHC,Poverty headcount ratio at national poverty lines (% of population),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,15.3,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),Poverty headcount ratio at national poverty lines (% of population),0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,PAN,Panama,WB_WDI_SI_POV_NAHC,Poverty headcount ratio at national poverty lines (% of population),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,37.9,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),Poverty headcount ratio at national poverty lines (% of population),0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,Annual,RUS,Russian Federation,WB_WDI_SI_POV_NAHC,Poverty headcount ratio at national poverty lines (% of population),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_POP,Percentage of population,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2000,29.0,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),Poverty headcount ratio at national poverty lines (% of population),0,Units,WB_WDI,World Development Indicators (WDI),RATIO,Ratio,P1Y,Annual,,A,Normal value,PU,Public
