FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,AGG_METHOD,AGG_METHOD_LABEL,DECIMALS,DECIMALS_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,DATA_SOURCE,DATA_SOURCE_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,Annual,ABW,Aruba,WB_WDI_SL_EMP_TOTL_SP_NE_ZS,"Employment to population ratio, 15+, total (%) (national estimate)",PT,Percentage,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.11,,,,,,,,,59.1,,,,,,,62.42,,,57.13,58.1,,,,,,,,,,,,
A,Annual,AFG,Afghanistan,WB_WDI_SL_EMP_TOTL_SP_NE_ZS,"Employment to population ratio, 15+, total (%) (national estimate)",PT,Percentage,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.688,,,,46.162,,47.631,,,42.015,,,36.71,46.906,,
A,Annual,AFW,Africa Western and Central,WB_WDI_SL_EMP_TOTL_SP_NE_ZS,"Employment to population ratio, 15+, total (%) (national estimate)",PT,Percentage,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.10157762484997,,56.97961209403407,,,72.60636546027597,
A,Annual,AGO,Angola,WB_WDI_SL_EMP_TOTL_SP_NE_ZS,"Employment to population ratio, 15+, total (%) (national estimate)",PT,Percentage,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.116,,,,,64.482,69.98,72.08,,,39.384,,,,,62.645,,64.306,64.62,
A,Annual,ALB,Albania,WB_WDI_SL_EMP_TOTL_SP_NE_ZS,"Employment to population ratio, 15+, total (%) (national estimate)",PT,Percentage,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.79,,50.3,47.425,,40.948,46.245,47.473,47.426,51.857,49.371,44.102,43.775,45.955,48.477,50.152,52.0,53.392,52.457,52.836,55.457,57.066
A,Annual,ARB,Arab World,WB_WDI_SL_EMP_TOTL_SP_NE_ZS,"Employment to population ratio, 15+, total (%) (national estimate)",PT,Percentage,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.19525316828486,41.86650521355946,,,,,40.68369998995753,,,,,,,,,
A,Annual,ARE,United Arab Emirates,WB_WDI_SL_EMP_TOTL_SP_NE_ZS,"Employment to population ratio, 15+, total (%) (national estimate)",PT,Percentage,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,71.99,,,,,74.36,,,,,,,,,,,,,,,73.84,,,,,,,,,,75.09,,,69.65,69.353,,,,,,,,78.786,79.201,78.331,76.904,74.423,75.156,76.767
A,Annual,ARG,Argentina,WB_WDI_SL_EMP_TOTL_SP_NE_ZS,"Employment to population ratio, 15+, total (%) (national estimate)",PT,Percentage,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.6,47.0,47.3,47.1,44.8,43.7,43.7,46.2,46.7,46.7,49.5,46.4,47.6,51.9,53.567,54.434,55.568,55.8,55.692,55.526,55.544,56.297,56.006,55.705,55.123,,,53.899,54.1,54.355,49.602,55.085,57.3,58.462
A,Annual,ARM,Armenia,WB_WDI_SL_EMP_TOTL_SP_NE_ZS,"Employment to population ratio, 15+, total (%) (national estimate)",PT,Percentage,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.6,,,,,,,47.219,43.054,46.361,48.961,50.259,51.814,52.378,51.994,50.917,50.022,50.052,60.057,57.465,61.56,61.793,,
A,Annual,ASM,American Samoa,WB_WDI_SL_EMP_TOTL_SP_NE_ZS,"Employment to population ratio, 15+, total (%) (national estimate)",PT,Percentage,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,49.94,,,,,,,,,,,,,,,,48.09,,,,,,,,,,49.25,,,,,53.95,,,,,47.79,,,,,,,,,,,,,
A,Annual,ATG,Antigua and Barbuda,WB_WDI_SL_EMP_TOTL_SP_NE_ZS,"Employment to population ratio, 15+, total (%) (national estimate)",PT,Percentage,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.47,,,,,,,,,,65.76,,,,,,,,,,,,,,,,,66.236,,,,,
